aircraft,missile_speed,missile_range,enemy_generation,maneuverability,no_aa_capability
A10,857,35000,3.5,1,0
A400M,-1,-1,4.0,0,1
AG600,-1,-1,4.0,0,1
AH64,750,8000,4.0,1,0
AKINCI,1372,65000,4.0,1,0
AV8B,1372,160000,4.0,1,0
An124,-1,-1,4.0,0,1
An22,-1,-1,3.5,0,1
An225,-1,-1,4.0,0,1
An72,-1,-1,4.0,0,1
B1,-1,-1,4.0,0,1
B2,-1,-1,4.5,0,1
B21,-1,-1,5.0,0,1
B52,-1,-1,3.5,0,1
Be200,-1,-1,4.0,0,1
C1,-1,-1,3.5,0,1
C130,-1,-1,3.5,0,1
C17,-1,-1,4.0,0,1
C2,-1,-1,4.0,0,1
C390,-1,-1,4.5,0,1
C5,-1,-1,3.5,0,1
CH47,-1,-1,3.5,0,1
CH53,-1,-1,3.5,0,1
CL415,-1,-1,4.0,0,1
E2,-1,-1,4.0,0,1
E7,-1,-1,4.5,0,1
EF2000,1372,200000,4.5,2,0
EMB314,857,35000,4.0,1,0
F117,-1,-1,4.0,0,1
F14,1475,190000,4.0,2,0
F15,1372,160000,4.0,2,0
F16,1372,160000,4.0,2,0
F18,1372,160000,4.5,2,0
F2,1544,105000,4.5,2,0
F22,1372,160000,5.0,2,0
F35,1372,160000,5.0,2,0
F4,1372,50000,3.5,1,0
FCK1,2058,100000,4.0,2,0
H6,-1,-1,3.5,0,1
Il76,-1,-1,3.5,0,1
J10,1715,300000,4.5,2,0
J20,1715,300000,5.0,2,0
J35,1715,300000,5.0,2,0
J36,1715,400000,5.0,2,0
J50,1715,400000,5.0,2,0
JAS39,1372,200000,4.5,2,0
JF17,1372,100000,4.5,2,0
JH7,1372,100000,4.0,1,0
KAAN,1372,65000,5.0,2,0
KC135,-1,-1,3.5,0,1
KF21,1372,200000,4.5,2,0
KIZILELMA,1372,65000,5.0,2,0
KJ600,-1,-1,4.5,0,1
Ka27,-1,-1,4.0,1,1
Ka52,857,40000,4.0,1,0
MQ20,-1,-1,5.0,1,1
MQ25,-1,-1,5.0,0,1
MQ28,1372,160000,5.0,1,0
MQ9,857,35000,4.0,1,0
Mi24,847,8000,3.5,1,0
Mi26,-1,-1,4.0,0,1
Mi28,857,40000,4.0,1,0
Mi8,-1,-1,3.5,0,1
Mig29,1372,110000,4.0,2,0
Mig31,2058,400000,4.0,1,0
Mirage2000,1372,80000,4.0,2,0
NH90,-1,-1,4.0,1,1
P3,-1,-1,3.5,0,1
RQ4,-1,-1,4.0,0,1
Rafale,1372,200000,4.5,2,0
SR71,-1,-1,3.5,0,1
Su24,847,8000,3.5,1,0
Su25,857,40000,3.5,1,0
Su34,1372,110000,4.0,1,0
Su47,1372,110000,4.5,2,0
Su57,2058,400000,5.0,2,0
T50,857,18000,4.0,1,0
TB001,-1,-1,4.0,1,1
TB2,-1,-1,4.0,1,1
Tejas,1544,110000,4.5,2,0
Tornado,1372,160000,4.0,1,0
Tu160,-1,-1,4.0,0,1
Tu22M,-1,-1,3.5,0,1
Tu95,-1,-1,3.5,0,1
U2,-1,-1,3.5,0,1
UH60,-1,-1,4.0,1,1
US2,-1,-1,4.0,0,1
V22,-1,-1,4.0,0,1
V280,-1,-1,5.0,1,1
Vulcan,-1,-1,3.5,0,1
WZ10,686,8000,4.0,1,0
WZ7,-1,-1,4.0,0,1
WZ9,686,8000,4.0,1,0
X29,-1,-1,4.0,2,1
X32,1372,160000,5.0,2,0
XB70,-1,-1,3.5,0,1
XQ58,1372,160000,5.0,1,0
Y20,-1,-1,4.0,0,1
YF23,1372,160000,5.0,2,0
Z10,686,8000,4.0,1,0
Z19,686,8000,4.0,1,0
Z21,686,8000,4.0,1,0
